preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,int64-totalfee,int64-totalfeeperacc
224,2.83436959,0.01265344
225,2.84700025,0.01265334
226,2.85963091,0.01265324
227,2.87226157,0.01265314
228,2.88489223,0.01265304
229,2.89752289,0.01265294
230,2.91015355,0.01265285
231,2.92278421,0.01265275
232,2.93541487,0.01265266
233,2.94804553,0.01265256
234,2.96067619,0.01265247
235,2.97330685,0.01265237
236,2.98593751,0.01265228
237,2.99856817,0.01265219
238,3.01119883,0.01265210
239,3.02382949,0.01265201
240,3.03646015,0.01265192
241,3.04909081,0.01265183
242,3.06172147,0.01265175
243,3.07435213,0.01265166
244,3.08698279,0.01265157
245,3.09961345,0.01265149
246,3.11224411,0.01265140
247,3.12487477,0.01265132
248,3.13750543,0.01265124
249,3.15013609,0.01265115
250,3.16276675,0.01265107
251,3.17539741,0.01265099
252,3.18802807,0.01265091
253,3.20065873,0.01265083
254,3.21328939,0.01265075
255,3.22592005,0.01265067
256,3.23855071,0.01265059
257,3.25118137,0.01265052
258,3.26381203,0.01265044
259,3.27644269,0.01265036
260,3.28907335,0.01265029
261,3.30170401,0.01265021
262,3.31433467,0.01265014
263,3.32696533,0.01265006
264,3.33959599,0.01264999
265,3.35222665,0.01264992
266,3.36485731,0.01264984
267,3.37748797,0.01264977
268,3.39011863,0.01264970
269,3.40274929,0.01264963
270,3.41537995,0.01264956
271,3.42801061,0.01264949
272,3.44064127,0.01264942
273,3.45327193,0.01264935
274,3.46590259,0.01264928
275,3.47853325,0.01264922
276,3.49116391,0.01264915
277,3.50379457,0.01264908
278,3.51642523,0.01264902
279,3.52905589,0.01264895
280,3.54168655,0.01264889
281,3.55431721,0.01264882
282,3.56694787,0.01264876
283,3.57957853,0.01264869
284,3.59220919,0.01264863
285,3.60483985,0.01264857
286,3.61747051,0.01264850
287,3.63010117,0.01264844
288,3.64273183,0.01264838
289,3.65536249,0.01264832
290,3.66799315,0.01264826
291,3.68062381,0.01264820
292,3.69325447,0.01264814
293,3.70588513,0.01264808
294,3.71851579,0.01264802
295,3.73114645,0.01264796
296,3.74377711,0.01264790
297,3.75640777,0.01264784
298,3.76903843,0.01264778
299,3.78166909,0.01264773
300,3.79429975,0.01264767
301,3.80693041,0.01264761
302,3.81956107,0.01264756
303,3.83219173,0.01264750
304,3.84482239,0.01264745
305,3.85745305,0.01264739
306,3.87008371,0.01264734
307,3.88271437,0.01264728
308,3.89534503,0.01264723
309,3.90797569,0.01264718
310,3.92060635,0.01264712
311,3.93323701,0.01264707
312,3.94586767,0.01264702
313,3.95849833,0.01264696
314,3.97112899,0.01264691
315,3.98375965,0.01264686
316,3.99639031,0.01264681
317,4.00902097,0.01264676
318,4.02165163,0.01264671
319,4.03428229,0.01264666
320,4.04691295,0.01264661
321,4.05954361,0.01264656
322,4.07217427,0.01264651
323,4.08480493,0.01264646
324,4.09743559,0.01264641
325,4.11006625,0.01264636
326,4.12269691,0.01264631
327,4.13532757,0.01264627
328,4.14795823,0.01264622
329,4.16058889,0.01264617
330,4.17321955,0.01264612
331,4.18585021,0.01264608
332,4.19848087,0.01264603
333,4.21111153,0.01264599
334,4.22374219,0.01264594
335,4.23637285,0.01264589
336,4.24900351,0.01264585
337,4.26163417,0.01264580
338,4.27426483,0.01264576
339,4.28689549,0.01264571
340,4.29952615,0.01264567
341,4.31215681,0.01264563
342,4.32478747,0.01264558
343,4.33741813,0.01264554
344,4.35004879,0.01264550
345,4.36267945,0.01264545
346,4.37531011,0.01264541
347,4.38794077,0.01264537
348,4.40057143,0.01264533
349,4.41320209,0.01264528
350,4.42583275,0.01264524
351,4.43846341,0.01264520
352,4.45109407,0.01264516
353,4.46372473,0.01264512
354,4.47635539,0.01264508
355,4.48898605,0.01264504
356,4.50161671,0.01264500
357,4.51424737,0.01264496
358,4.52687803,0.01264492
359,4.53950869,0.01264488
360,4.55213935,0.01264484
361,4.56477001,0.01264480
362,4.57740067,0.01264476
363,4.59003133,0.01264472
364,4.60266199,0.01264468
365,4.61529265,0.01264464
366,4.62792331,0.01264460
367,4.64055397,0.01264457
368,4.65318463,0.01264453
369,4.66581529,0.01264449
370,4.67844595,0.01264445
371,4.69107661,0.01264442
372,4.70370727,0.01264438
373,4.71633793,0.01264434
374,4.72896859,0.01264431
375,4.74159925,0.01264427
376,4.75422991,0.01264423
377,4.76686057,0.01264420
378,4.77949123,0.01264416
379,4.79212189,0.01264413
380,4.80475255,0.01264409
381,4.81738321,0.01264406
382,4.83001387,0.01264402
383,4.84264453,0.01264399
384,4.85527519,0.01264395
385,4.86790585,0.01264392
386,4.88053651,0.01264388
387,4.89316717,0.01264385
388,4.90579783,0.01264381
389,4.91842849,0.01264378
390,4.93105915,0.01264375
391,4.94368981,0.01264371
392,4.95632047,0.01264368
393,4.96895113,0.01264365
394,4.98158179,0.01264361
395,4.99421245,0.01264358
396,5.00684311,0.01264355
397,5.01947377,0.01264352
398,5.03210443,0.01264348
399,5.04473509,0.01264345
400,5.05736575,0.01264342
401,5.06999641,0.01264339
402,5.08262707,0.01264336
403,5.09525773,0.01264332
404,5.10788839,0.01264329
405,5.12051905,0.01264326
406,5.13314971,0.01264323
407,5.14578037,0.01264320
408,5.15841103,0.01264317
409,5.17104169,0.01264314
410,5.18367235,0.01264311
411,5.19630301,0.01264308
412,5.20893367,0.01264305
413,5.22156433,0.01264302
414,5.23419499,0.01264299
415,5.24682565,0.01264296
416,5.25945631,0.01264293
417,5.27208697,0.01264290
418,5.28471763,0.01264287
419,5.29734829,0.01264284
420,5.30997895,0.01264281
421,5.32260961,0.01264278
422,5.33524027,0.01264275
423,5.34787093,0.01264273
424,5.36050159,0.01264270
425,5.37313225,0.01264267
426,5.38576291,0.01264264
427,5.39839357,0.01264261
428,5.41102423,0.01264258
429,5.42365489,0.01264256
430,5.43628555,0.01264253
431,5.44891621,0.01264250
432,5.46154687,0.01264247
433,5.47417753,0.01264245
434,5.48680819,0.01264242
435,5.49943885,0.01264239
436,5.51206951,0.01264237
437,5.52470017,0.01264234
438,5.53733083,0.01264231
439,5.54996149,0.01264229
440,5.56259215,0.01264226
441,5.57522281,0.01264223
442,5.58785347,0.01264221
443,5.60048413,0.01264218
444,5.61311479,0.01264216
445,5.62574545,0.01264213
446,5.63837611,0.01264210
447,5.65100677,0.01264208
448,5.66363743,0.01264205
449,5.67626809,0.01264203
450,5.68889875,0.01264200
451,5.70152941,0.01264198
452,5.71416007,0.01264195
453,5.72679073,0.01264193
454,5.73942139,0.01264190
455,5.75205205,0.01264188
456,5.76468271,0.01264185
457,5.77731337,0.01264183
458,5.78994403,0.01264180
459,5.80257469,0.01264178
460,5.81520535,0.01264176
461,5.82783601,0.01264173
462,5.84046667,0.01264171
463,5.85309733,0.01264168
464,5.86572799,0.01264166
465,5.87835865,0.01264164
466,5.89098931,0.01264161
467,5.90361997,0.01264159
468,5.91625063,0.01264157
469,5.92888129,0.01264154
470,5.94151195,0.01264152
471,5.95414261,0.01264150
472,5.96677327,0.01264147
473,5.97940393,0.01264145
474,5.99203459,0.01264143
475,6.00466525,0.01264141
476,6.01729591,0.01264138
477,6.02992657,0.01264136
478,6.04255723,0.01264134
479,6.05518789,0.01264132
480,6.06781855,0.01264129
481,6.08044921,0.01264127
482,6.09307987,0.01264125
483,6.10571053,0.01264123
484,6.11834119,0.01264121
485,6.13097185,0.01264118
486,6.14360251,0.01264116
487,6.15623317,0.01264114
488,6.16886383,0.01264112
489,6.18149449,0.01264110
490,6.19412515,0.01264108
491,6.20675581,0.01264106
492,6.21938647,0.01264103
493,6.23201713,0.01264101
494,6.24464779,0.01264099
495,6.25727845,0.01264097
496,6.26990911,0.01264095
497,6.28253977,0.01264093
498,6.29517043,0.01264091
499,6.30780109,0.01264089
500,6.32043175,0.01264087
501,6.33306241,0.01264085
502,6.34569307,0.01264083
503,6.35832373,0.01264081
504,6.37095439,0.01264079
505,6.38358505,0.01264077
506,6.39621571,0.01264075
507,6.40884637,0.01264073
508,6.42147703,0.01264071
509,6.43410769,0.01264069
510,6.44673835,0.01264067
511,6.45936901,0.01264065
512,6.47199967,0.01264063
513,6.48463033,0.01264061
514,6.49726099,0.01264059
515,6.50989165,0.01264057
516,6.52252231,0.01264055
517,6.53515297,0.01264053
518,6.54778363,0.01264051
519,6.56041429,0.01264049
520,6.57304495,0.01264048
521,6.58567561,0.01264046
522,6.59830627,0.01264044
523,6.61093693,0.01264042
524,6.62356759,0.01264040
525,6.63619825,0.01264038
526,6.64882891,0.01264036
527,6.66145957,0.01264035
528,6.67409023,0.01264033
529,6.68672089,0.01264031
530,6.69935155,0.01264029
531,6.71198221,0.01264027
532,6.72461287,0.01264025
533,6.73724353,0.01264024
534,6.74987419,0.01264022
535,6.76250485,0.01264020
536,6.77513551,0.01264018
537,6.78776617,0.01264017
538,6.80039683,0.01264015
539,6.81302749,0.01264013
540,6.82565815,0.01264011
541,6.83828881,0.01264010
542,6.85091947,0.01264008
543,6.86355013,0.01264006
544,6.87618079,0.01264004
545,6.88881145,0.01264003
546,6.90144211,0.01264001
547,6.91407277,0.01263999
548,6.92670343,0.01263997
549,6.93933409,0.01263996
550,6.95196475,0.01263994
551,6.96459541,0.01263992
552,6.97722607,0.01263991
553,6.98985673,0.01263989
554,7.00248739,0.01263987
555,7.01511805,0.01263986
556,7.02774871,0.01263984
557,7.04037937,0.01263982
558,7.05301003,0.01263981
559,7.06564069,0.01263979
560,7.07827135,0.01263978
561,7.09090201,0.01263976
562,7.10353267,0.01263974
563,7.11616333,0.01263973
564,7.12879399,0.01263971
565,7.14142465,0.01263969
566,7.15405531,0.01263968
567,7.16668597,0.01263966
568,7.17931663,0.01263965
569,7.19194729,0.01263963
570,7.20457795,0.01263962
571,7.21720861,0.01263960
572,7.22983927,0.01263958
573,7.24246993,0.01263957
574,7.25510059,0.01263955
575,7.26773125,0.01263954
576,7.28036191,0.01263952
577,7.29299257,0.01263951
578,7.30562323,0.01263949
579,7.31825389,0.01263948
580,7.33088455,0.01263946
581,7.34351521,0.01263945
582,7.35614587,0.01263943
583,7.36877653,0.01263942
584,7.38140719,0.01263940
585,7.39403785,0.01263939
586,7.40666851,0.01263937
587,7.41929917,0.01263936
588,7.43192983,0.01263934
589,7.44456049,0.01263933
590,7.45719115,0.01263931
591,7.46982181,0.01263930
592,7.48245247,0.01263928
593,7.49508313,0.01263927
594,7.50771379,0.01263925
595,7.52034445,0.01263924
596,7.53297511,0.01263922
597,7.54560577,0.01263921
598,7.55823643,0.01263920
599,7.57086709,0.01263918
600,7.58349775,0.01263917
601,7.59612841,0.01263915
602,7.60875907,0.01263914
603,7.62138973,0.01263913
604,7.63402039,0.01263911
605,7.64665105,0.01263910
606,7.65928171,0.01263908
607,7.67191237,0.01263907
608,7.68454303,0.01263906
609,7.69717369,0.01263904
610,7.70980435,0.01263903
611,7.72243501,0.01263901
612,7.73506567,0.01263900
613,7.74769633,0.01263899
614,7.76032699,0.01263897
615,7.77295765,0.01263896
616,7.78558831,0.01263895
617,7.79821897,0.01263893
618,7.81084963,0.01263892
619,7.82348029,0.01263891
620,7.83611095,0.01263889
621,7.84874161,0.01263888
622,7.86137227,0.01263887
623,7.87400293,0.01263885
624,7.88663359,0.01263884
625,7.89926425,0.01263883
626,7.91189491,0.01263881
627,7.92452557,0.01263880
628,7.93715623,0.01263879
629,7.94978689,0.01263878
630,7.96241755,0.01263876
631,7.97504821,0.01263875
632,7.98767887,0.01263874
633,8.00030953,0.01263872
634,8.01294019,0.01263871
635,8.02557085,0.01263870
636,8.03820151,0.01263869
637,8.05083217,0.01263867
638,8.06346283,0.01263866
639,8.07609349,0.01263865
640,8.08872415,0.01263864
641,8.10135481,0.01263862
642,8.11398547,0.01263861
643,8.12661613,0.01263860
644,8.13924679,0.01263859
645,8.15187745,0.01263857
646,8.16450811,0.01263856
647,8.17713877,0.01263855
648,8.18976943,0.01263854
649,8.20240009,0.01263853
650,8.21503075,0.01263851
651,8.22766141,0.01263850
652,8.24029207,0.01263849
653,8.25292273,0.01263848
654,8.26555339,0.01263847
655,8.27818405,0.01263845
656,8.29081471,0.01263844
657,8.30344537,0.01263843
658,8.31607603,0.01263842
659,8.32870669,0.01263841
660,8.34133735,0.01263839
661,8.35396801,0.01263838
662,8.36659867,0.01263837
663,8.37922933,0.01263836
664,8.39185999,0.01263835
665,8.40449065,0.01263834
666,8.41712131,0.01263833
667,8.42975197,0.01263831
668,8.44238263,0.01263830
669,8.45501329,0.01263829
670,8.46764395,0.01263828
671,8.48027461,0.01263827
672,8.49290527,0.01263826
673,8.50553593,0.01263825
674,8.51816659,0.01263823
675,8.53079725,0.01263822
676,8.54342791,0.01263821
677,8.55605857,0.01263820
678,8.56868923,0.01263819
679,8.58131989,0.01263818
680,8.59395055,0.01263817
681,8.60658121,0.01263816
682,8.61921187,0.01263815
683,8.63184253,0.01263813
684,8.64447319,0.01263812
685,8.65710385,0.01263811
686,8.66973451,0.01263810
687,8.68236517,0.01263809
688,8.69499583,0.01263808
689,8.70762649,0.01263807
690,8.72025715,0.01263806
691,8.73288781,0.01263805
692,8.74551847,0.01263804
693,8.75814913,0.01263803
694,8.77077979,0.01263802
695,8.78341045,0.01263801
696,8.79604111,0.01263800
697,8.80867177,0.01263798
698,8.82130243,0.01263797
699,8.83393309,0.01263796
700,8.84656375,0.01263795
701,8.85919441,0.01263794
702,8.87182507,0.01263793
703,8.88445573,0.01263792
704,8.89708639,0.01263791
705,8.90971705,0.01263790
706,8.92234771,0.01263789
707,8.93497837,0.01263788
708,8.94760903,0.01263787
709,8.96023969,0.01263786
710,8.97287035,0.01263785
711,8.98550101,0.01263784
712,8.99813167,0.01263783
713,9.01076233,0.01263782
714,9.02339299,0.01263781
715,9.03602365,0.01263780
716,9.04865431,0.01263779
717,9.06128497,0.01263778
718,9.07391563,0.01263777
719,9.08654629,0.01263776
720,9.09917695,0.01263775
721,9.11180761,0.01263774
722,9.12443827,0.01263773
723,9.13706893,0.01263772
724,9.14969959,0.01263771
725,9.16233025,0.01263770
726,9.17496091,0.01263769
727,9.18759157,0.01263768
728,9.20022223,0.01263767
729,9.21285289,0.01263766
730,9.22548355,0.01263765
731,9.23811421,0.01263764
732,9.25074487,0.01263763
733,9.26337553,0.01263763
734,9.27600619,0.01263762
735,9.28863685,0.01263761
736,9.30126751,0.01263760
737,9.31389817,0.01263759
738,9.32652883,0.01263758
739,9.33915949,0.01263757
740,9.35179015,0.01263756
741,9.36442081,0.01263755
