feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,int64-totalfee,int64-totalfeeperacc
225,3.30923800,0.01470773
226,3.32392305,0.01470763
227,3.33860810,0.01470753
228,3.35329315,0.01470743
229,3.36797820,0.01470733
230,3.38266325,0.01470724
231,3.39734830,0.01470714
232,3.41203335,0.01470705
233,3.42671840,0.01470695
234,3.44140345,0.01470686
235,3.45608850,0.01470676
236,3.47077355,0.01470667
237,3.48545860,0.01470658
238,3.50014365,0.01470649
239,3.51482870,0.01470640
240,3.52951375,0.01470631
241,3.54419880,0.01470622
242,3.55888385,0.01470614
243,3.57356890,0.01470605
244,3.58825395,0.01470596
245,3.60293900,0.01470588
246,3.61762405,0.01470579
247,3.63230910,0.01470571
248,3.64699415,0.01470563
249,3.66167920,0.01470554
250,3.67636425,0.01470546
251,3.69104930,0.01470538
252,3.70573435,0.01470530
253,3.72041940,0.01470522
254,3.73510445,0.01470514
255,3.74978950,0.01470506
256,3.76447455,0.01470498
257,3.77915960,0.01470491
258,3.79384465,0.01470483
259,3.80852970,0.01470475
260,3.82321475,0.01470468
261,3.83789980,0.01470460
262,3.85258485,0.01470453
263,3.86726990,0.01470445
264,3.88195495,0.01470438
265,3.89664000,0.01470431
266,3.91132505,0.01470423
267,3.92601010,0.01470416
268,3.94069515,0.01470409
269,3.95538020,0.01470402
270,3.97006525,0.01470395
271,3.98475030,0.01470388
272,3.99943535,0.01470381
273,4.01412040,0.01470374
274,4.02880545,0.01470367
275,4.04349050,0.01470361
276,4.05817555,0.01470354
277,4.07286060,0.01470347
278,4.08754565,0.01470341
279,4.10223070,0.01470334
280,4.11691575,0.01470328
281,4.13160080,0.01470321
282,4.14628585,0.01470315
283,4.16097090,0.01470308
284,4.17565595,0.01470302
285,4.19034100,0.01470296
286,4.20502605,0.01470289
287,4.21971110,0.01470283
288,4.23439615,0.01470277
289,4.24908120,0.01470271
290,4.26376625,0.01470265
291,4.27845130,0.01470259
292,4.29313635,0.01470253
293,4.30782140,0.01470247
294,4.32250645,0.01470241
295,4.33719150,0.01470235
296,4.35187655,0.01470229
