feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,int32-totalfee,int32-totalfeeperacc
225,3.28583800,0.01460373
226,3.30041905,0.01460363
227,3.31500010,0.01460353
228,3.32958115,0.01460343
229,3.34416220,0.01460333
230,3.35874325,0.01460324
231,3.37332430,0.01460314
232,3.38790535,0.01460305
233,3.40248640,0.01460295
234,3.41706745,0.01460286
235,3.43164850,0.01460276
236,3.44622955,0.01460267
237,3.46081060,0.01460258
238,3.47539165,0.01460249
239,3.48997270,0.01460240
240,3.50455375,0.01460231
241,3.51913480,0.01460222
242,3.53371585,0.01460214
243,3.54829690,0.01460205
244,3.56287795,0.01460196
245,3.57745900,0.01460188
246,3.59204005,0.01460179
247,3.60662110,0.01460171
248,3.62120215,0.01460163
249,3.63578320,0.01460154
250,3.65036425,0.01460146
251,3.66494530,0.01460138
252,3.67952635,0.01460130
253,3.69410740,0.01460122
254,3.70868845,0.01460114
255,3.72326950,0.01460106
256,3.73785055,0.01460098
257,3.75243160,0.01460091
258,3.76701265,0.01460083
259,3.78159370,0.01460075
260,3.79617475,0.01460068
261,3.81075580,0.01460060
262,3.82533685,0.01460053
263,3.83991790,0.01460045
264,3.85449895,0.01460038
265,3.86908000,0.01460031
266,3.88366105,0.01460023
267,3.89824210,0.01460016
268,3.91282315,0.01460009
269,3.92740420,0.01460002
270,3.94198525,0.01459995
271,3.95656630,0.01459988
272,3.97114735,0.01459981
273,3.98572840,0.01459974
274,4.00030945,0.01459967
275,4.01489050,0.01459961
276,4.02947155,0.01459954
277,4.04405260,0.01459947
278,4.05863365,0.01459941
279,4.07321470,0.01459934
280,4.08779575,0.01459928
281,4.10237680,0.01459921
282,4.11695785,0.01459915
283,4.13153890,0.01459908
284,4.14611995,0.01459902
285,4.16070100,0.01459896
286,4.17528205,0.01459889
287,4.18986310,0.01459883
288,4.20444415,0.01459877
289,4.21902520,0.01459871
290,4.23360625,0.01459865
291,4.24818730,0.01459859
292,4.26276835,0.01459853
293,4.27734940,0.01459847
294,4.29193045,0.01459841
295,4.30651150,0.01459835
296,4.32109255,0.01459829
297,4.33567360,0.01459823
298,4.35025465,0.01459817
299,4.36483570,0.01459812
300,4.37941675,0.01459806
301,4.39399780,0.01459800
302,4.40857885,0.01459795
303,4.42315990,0.01459789
304,4.43774095,0.01459784
305,4.45232200,0.01459778
306,4.46690305,0.01459773
307,4.48148410,0.01459767
308,4.49606515,0.01459762
309,4.51064620,0.01459757
310,4.52522725,0.01459751
311,4.53980830,0.01459746
312,4.55438935,0.01459741
313,4.56897040,0.01459735
314,4.58355145,0.01459730
315,4.59813250,0.01459725
316,4.61271355,0.01459720
317,4.62729460,0.01459715
318,4.64187565,0.01459710
319,4.65645670,0.01459705
320,4.67103775,0.01459700
321,4.68561880,0.01459695
322,4.70019985,0.01459690
323,4.71478090,0.01459685
324,4.72936195,0.01459680
325,4.74394300,0.01459675
326,4.75852405,0.01459670
327,4.77310510,0.01459666
328,4.78768615,0.01459661
329,4.80226720,0.01459656
330,4.81684825,0.01459651
331,4.83142930,0.01459647
332,4.84601035,0.01459642
333,4.86059140,0.01459638
334,4.87517245,0.01459633
335,4.88975350,0.01459628
336,4.90433455,0.01459624
337,4.91891560,0.01459619
338,4.93349665,0.01459615
339,4.94807770,0.01459610
340,4.96265875,0.01459606
341,4.97723980,0.01459602
342,4.99182085,0.01459597
343,5.00640190,0.01459593
344,5.02098295,0.01459589
345,5.03556400,0.01459584
346,5.05014505,0.01459580
347,5.06472610,0.01459576
348,5.07930715,0.01459572
349,5.09388820,0.01459567
350,5.10846925,0.01459563
351,5.12305030,0.01459559
352,5.13763135,0.01459555
353,5.15221240,0.01459551
354,5.16679345,0.01459547
355,5.18137450,0.01459543
356,5.19595555,0.01459539
357,5.21053660,0.01459535
358,5.22511765,0.01459531
359,5.23969870,0.01459527
