feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01856128,0.00121952,0.01978080,0.01856128,0.00121952,0.01978080
2,0.03321533,0.00125052,0.03446585,0.01660767,0.00062526,0.01723293
3,0.04786938,0.00128152,0.04915090,0.01595646,0.00042718,0.01638364
4,0.06252343,0.00131252,0.06383595,0.01563086,0.00032813,0.01595899
5,0.07717748,0.00134352,0.07852100,0.01543550,0.00026871,0.01570420
6,0.09183153,0.00137452,0.09320605,0.01530526,0.00022909,0.01553435
7,0.10648558,0.00140752,0.10789310,0.01521223,0.00020108,0.01541330
8,0.12113963,0.00143852,0.12257815,0.01514246,0.00017982,0.01532227
9,0.13579368,0.00146952,0.13726320,0.01508819,0.00016328,0.01525147
10,0.15044773,0.00150052,0.15194825,0.01504478,0.00015006,0.01519483
11,0.16510178,0.00153152,0.16663330,0.01500926,0.00013923,0.01514849
12,0.17975583,0.00156252,0.18131835,0.01497966,0.00013021,0.01510987
13,0.19440988,0.00159352,0.19600340,0.01495461,0.00012258,0.01507719
14,0.20906393,0.00162452,0.21068845,0.01493314,0.00011604,0.01504918
15,0.22371798,0.00165552,0.22537350,0.01491454,0.00011037,0.01502490
16,0.23837203,0.00168652,0.24005855,0.01489826,0.00010541,0.01500366
17,0.25302608,0.00171952,0.25474560,0.01488389,0.00010115,0.01498504
18,0.26768013,0.00175052,0.26943065,0.01487112,0.00009726,0.01496837
19,0.28233418,0.00178152,0.28411570,0.01485970,0.00009377,0.01495346
20,0.29698823,0.00181252,0.29880075,0.01484942,0.00009063,0.01494004
21,0.31164228,0.00184352,0.31348580,0.01484011,0.00008779,0.01492790
22,0.32629633,0.00187452,0.32817085,0.01483166,0.00008521,0.01491686
23,0.34095038,0.00190552,0.34285590,0.01482393,0.00008285,0.01490678
24,0.35560443,0.00193652,0.35754095,0.01481686,0.00008069,0.01489754
25,0.37025848,0.00196752,0.37222600,0.01481034,0.00007871,0.01488904
26,0.38491253,0.00199852,0.38691105,0.01480433,0.00007687,0.01488120
27,0.39956658,0.00202952,0.40159610,0.01479877,0.00007517,0.01487393
28,0.41422063,0.00206052,0.41628115,0.01479360,0.00007359,0.01486719
29,0.42887468,0.00209152,0.43096620,0.01478879,0.00007213,0.01486091
30,0.44352873,0.00212252,0.44565125,0.01478430,0.00007076,0.01485505
31,0.45818278,0.00215352,0.46033630,0.01478009,0.00006947,0.01484956
32,0.47283683,0.00218452,0.47502135,0.01477616,0.00006827,0.01484442
33,0.48749088,0.00221552,0.48970640,0.01477246,0.00006714,0.01483959
34,0.50214493,0.00224652,0.50439145,0.01476897,0.00006608,0.01483505
35,0.51679898,0.00227752,0.51907650,0.01476569,0.00006508,0.01483076
36,0.53145303,0.00230852,0.53376155,0.01476259,0.00006413,0.01482671
37,0.54610708,0.00233952,0.54844660,0.01475966,0.00006324,0.01482289
38,0.56076113,0.00237052,0.56313165,0.01475688,0.00006239,0.01481926
39,0.57541518,0.00240152,0.57781670,0.01475424,0.00006158,0.01481582
40,0.59006923,0.00243252,0.59250175,0.01475174,0.00006082,0.01481255
41,0.60472328,0.00246352,0.60718680,0.01474935,0.00006009,0.01480944
42,0.61937733,0.00249452,0.62187185,0.01474708,0.00005940,0.01480648
43,0.63403138,0.00252552,0.63655690,0.01474492,0.00005874,0.01480365
44,0.64868543,0.00255652,0.65124195,0.01474286,0.00005811,0.01480096
45,0.66333948,0.00258752,0.66592700,0.01474088,0.00005751,0.01479838
46,0.67799353,0.00261852,0.68061205,0.01473899,0.00005693,0.01479592
47,0.69264758,0.00264952,0.69529710,0.01473719,0.00005638,0.01479356
48,0.70730163,0.00268052,0.70998215,0.01473546,0.00005585,0.01479130
49,0.72195568,0.00271152,0.72466720,0.01473379,0.00005534,0.01478913
50,0.73660973,0.00274252,0.73935225,0.01473220,0.00005486,0.01478705
51,0.75126378,0.00277352,0.75403730,0.01473067,0.00005439,0.01478505
52,0.76591783,0.00280452,0.76872235,0.01472919,0.00005394,0.01478313
53,0.78057188,0.00283552,0.78340740,0.01472778,0.00005351,0.01478128
54,0.79522593,0.00286652,0.79809245,0.01472641,0.00005309,0.01477949
55,0.80987998,0.00289752,0.81277750,0.01472510,0.00005269,0.01477778
56,0.82453403,0.00292852,0.82746255,0.01472383,0.00005230,0.01477612
57,0.83918808,0.00295952,0.84214760,0.01472260,0.00005193,0.01477452
58,0.85384213,0.00299052,0.85683265,0.01472142,0.00005157,0.01477298
59,0.86849618,0.00302152,0.87151770,0.01472028,0.00005122,0.01477149
60,0.88315023,0.00305252,0.88620275,0.01471918,0.00005088,0.01477005
61,0.89780428,0.00308352,0.90088780,0.01471811,0.00005055,0.01476866
62,0.91245833,0.00311452,0.91557285,0.01471707,0.00005024,0.01476731
63,0.92711238,0.00314552,0.93025790,0.01471607,0.00004993,0.01476600
64,0.94176643,0.00317652,0.94494295,0.01471511,0.00004964,0.01476474
65,0.95642048,0.00320752,0.95962800,0.01471417,0.00004935,0.01476351
66,0.97107453,0.00323852,0.97431305,0.01471326,0.00004907,0.01476232
67,0.98572858,0.00326952,0.98899810,0.01471237,0.00004880,0.01476117
68,1.00038263,0.00330052,1.00368315,0.01471151,0.00004854,0.01476005
69,1.01503668,0.00333152,1.01836820,0.01471068,0.00004829,0.01475896
70,1.02969073,0.00336252,1.03305325,0.01470987,0.00004804,0.01475791
