feeperbyte=100
storageprice=10000
executionfeefactor=3
tea,systemfee,networkfee
0.10000000,0.01833285,0.00234204
1.00000000,0.01833285,0.00234204
10.00000000,0.01833285,0.00234204
21.47483647,0.01833285,0.00234204
21.47483648,0.01843285,0.00234604
100.00000000,0.01843285,0.00234604
1000.00000000,0.01843285,0.00234604
