feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01553297,0.00121852,0.01675149,0.01553297,0.00121852,0.01675149
2,0.02837845,0.00125152,0.02962997,0.01418923,0.00062576,0.01481499
3,0.04122393,0.00128452,0.04250845,0.01374131,0.00042818,0.01416949
4,0.05406941,0.00131752,0.05538693,0.01351736,0.00032938,0.01384674
5,0.06691489,0.00135052,0.06826541,0.01338298,0.00027011,0.01365309
6,0.07976037,0.00138352,0.08114389,0.01329340,0.00023059,0.01352399
7,0.09260585,0.00141852,0.09402437,0.01322941,0.00020265,0.01343206
8,0.10545133,0.00145152,0.10690285,0.01318142,0.00018144,0.01336286
9,0.11829681,0.00148452,0.11978133,0.01314409,0.00016495,0.01330904
10,0.13114229,0.00151752,0.13265981,0.01311423,0.00015176,0.01326599
11,0.14398777,0.00155052,0.14553829,0.01308980,0.00014096,0.01323076
12,0.15683325,0.00158352,0.15841677,0.01306944,0.00013196,0.01320140
13,0.16967873,0.00161652,0.17129525,0.01305221,0.00012435,0.01317656
14,0.18252421,0.00164952,0.18417373,0.01303745,0.00011783,0.01315527
15,0.19536969,0.00168252,0.19705221,0.01302465,0.00011217,0.01313682
16,0.20821517,0.00171552,0.20993069,0.01301345,0.00010722,0.01312067
17,0.22106065,0.00174852,0.22280917,0.01300357,0.00010286,0.01310643
18,0.23390613,0.00178152,0.23568765,0.01299479,0.00009898,0.01309376
19,0.24675161,0.00181452,0.24856613,0.01298693,0.00009551,0.01308243
20,0.25959709,0.00184752,0.26144461,0.01297986,0.00009238,0.01307224
21,0.27244257,0.00188052,0.27432309,0.01297346,0.00008955,0.01306301
22,0.28528805,0.00191352,0.28720157,0.01296764,0.00008698,0.01305462
23,0.29813353,0.00194652,0.30008005,0.01296233,0.00008464,0.01304696
24,0.31097901,0.00197952,0.31295853,0.01295746,0.00008248,0.01303994
25,0.32382449,0.00201252,0.32583701,0.01295298,0.00008051,0.01303349
26,0.33666997,0.00204552,0.33871549,0.01294885,0.00007868,0.01302752
27,0.34951545,0.00207852,0.35159397,0.01294502,0.00007699,0.01302200
28,0.36236093,0.00211152,0.36447245,0.01294147,0.00007542,0.01301688
29,0.37520641,0.00214452,0.37735093,0.01293816,0.00007395,0.01301211
30,0.38805189,0.00217752,0.39022941,0.01293507,0.00007259,0.01300765
31,0.40089737,0.00221052,0.40310789,0.01293218,0.00007131,0.01300349
32,0.41374285,0.00224352,0.41598637,0.01292947,0.00007011,0.01299958
33,0.42658833,0.00227652,0.42886485,0.01292692,0.00006899,0.01299591
34,0.43943381,0.00230952,0.44174333,0.01292453,0.00006793,0.01299246
35,0.45227929,0.00234252,0.45462181,0.01292227,0.00006693,0.01298920
36,0.46512477,0.00237552,0.46750029,0.01292014,0.00006599,0.01298612
37,0.47797025,0.00240852,0.48037877,0.01291812,0.00006510,0.01298321
38,0.49081573,0.00244152,0.49325725,0.01291621,0.00006426,0.01298046
39,0.50366121,0.00247452,0.50613573,0.01291439,0.00006345,0.01297784
40,0.51650669,0.00250752,0.51901421,0.01291267,0.00006269,0.01297536
41,0.52935217,0.00254052,0.53189269,0.01291103,0.00006197,0.01297300
42,0.54219765,0.00257352,0.54477117,0.01290947,0.00006128,0.01297075
43,0.55504313,0.00260652,0.55764965,0.01290798,0.00006062,0.01296860
44,0.56788861,0.00263952,0.57052813,0.01290656,0.00005999,0.01296655
45,0.58073409,0.00267252,0.58340661,0.01290521,0.00005939,0.01296460
46,0.59357957,0.00270552,0.59628509,0.01290391,0.00005882,0.01296272
47,0.60642505,0.00273852,0.60916357,0.01290267,0.00005827,0.01296093
48,0.61927053,0.00277152,0.62204205,0.01290147,0.00005774,0.01295921
49,0.63211601,0.00280452,0.63492053,0.01290033,0.00005724,0.01295757
50,0.64496149,0.00283752,0.64779901,0.01289923,0.00005676,0.01295599
51,0.65780697,0.00287052,0.66067749,0.01289818,0.00005629,0.01295447
52,0.67065245,0.00290352,0.67355597,0.01289717,0.00005584,0.01295300
53,0.68349793,0.00293652,0.68643445,0.01289619,0.00005541,0.01295160
54,0.69634341,0.00296952,0.69931293,0.01289525,0.00005500,0.01295024
55,0.70918889,0.00300252,0.71219141,0.01289435,0.00005460,0.01294894
56,0.72203437,0.00303552,0.72506989,0.01289348,0.00005421,0.01294768
57,0.73487985,0.00306852,0.73794837,0.01289263,0.00005384,0.01294647
58,0.74772533,0.00310152,0.75082685,0.01289182,0.00005348,0.01294530
59,0.76057081,0.00313452,0.76370533,0.01289104,0.00005313,0.01294416
60,0.77341629,0.00316752,0.77658381,0.01289028,0.00005280,0.01294307
61,0.78626177,0.00320052,0.78946229,0.01288954,0.00005247,0.01294201
62,0.79910725,0.00323352,0.80234077,0.01288883,0.00005216,0.01294099
63,0.81195273,0.00326652,0.81521925,0.01288814,0.00005185,0.01293999
64,0.82479821,0.00329952,0.82809773,0.01288748,0.00005156,0.01293903
65,0.83764369,0.00333252,0.84097621,0.01288683,0.00005127,0.01293810
66,0.85048917,0.00336552,0.85385469,0.01288620,0.00005100,0.01293720
67,0.86333465,0.00339852,0.86673317,0.01288560,0.00005073,0.01293632
68,0.87618013,0.00343152,0.87961165,0.01288501,0.00005047,0.01293547
69,0.88902561,0.00346452,0.89249013,0.01288443,0.00005022,0.01293464
70,0.90187109,0.00349752,0.90536861,0.01288388,0.00004997,0.01293384
71,0.91471657,0.00353052,0.91824709,0.01288334,0.00004973,0.01293306
72,0.92756205,0.00356352,0.93112557,0.01288281,0.00004950,0.01293230
73,0.94040753,0.00359652,0.94400405,0.01288230,0.00004927,0.01293157
74,0.95325301,0.00362952,0.95688253,0.01288180,0.00004905,0.01293085
75,0.96609849,0.00366252,0.96976101,0.01288132,0.00004884,0.01293015
76,0.97894397,0.00369552,0.98263949,0.01288085,0.00004863,0.01292947
77,0.99178945,0.00372852,0.99551797,0.01288039,0.00004843,0.01292881
78,1.00463493,0.00376152,1.00839645,0.01287994,0.00004823,0.01292816
79,1.01748041,0.00379452,1.02127493,0.01287950,0.00004804,0.01292754
80,1.03032589,0.00382752,1.03415341,0.01287908,0.00004785,0.01292692
81,1.04317137,0.00386052,1.04703189,0.01287866,0.00004767,0.01292632
82,1.05601685,0.00389352,1.05991037,0.01287826,0.00004749,0.01292574
83,1.06886233,0.00392652,1.07278885,0.01287786,0.00004731,0.01292517
84,1.08170781,0.00395952,1.08566733,0.01287748,0.00004714,0.01292462
85,1.09455329,0.00399252,1.09854581,0.01287710,0.00004698,0.01292407
86,1.10739877,0.00402552,1.11142429,0.01287673,0.00004681,0.01292354
87,1.12024425,0.00405852,1.12430277,0.01287638,0.00004665,0.01292303
88,1.13308973,0.00409152,1.13718125,0.01287602,0.00004650,0.01292252
89,1.14593521,0.00412452,1.15005973,0.01287568,0.00004635,0.01292202
90,1.15878069,0.00415752,1.16293821,0.01287535,0.00004620,0.01292154
91,1.17162617,0.00419052,1.17581669,0.01287502,0.00004605,0.01292107
92,1.18447165,0.00422352,1.18869517,0.01287470,0.00004591,0.01292060
93,1.19731713,0.00425652,1.20157365,0.01287438,0.00004577,0.01292015
94,1.21016261,0.00428952,1.21445213,0.01287408,0.00004564,0.01291971
95,1.22300809,0.00432252,1.22733061,0.01287377,0.00004551,0.01291927
96,1.23585357,0.00435552,1.24020909,0.01287348,0.00004537,0.01291885
97,1.24869905,0.00438852,1.25308757,0.01287319,0.00004525,0.01291843
98,1.26154453,0.00442152,1.26596605,0.01287291,0.00004512,0.01291803
99,1.27439001,0.00445452,1.27884453,0.01287263,0.00004500,0.01291763
100,1.28723549,0.00448752,1.29172301,0.01287236,0.00004488,0.01291724
101,1.30008097,0.00452052,1.30460149,0.01287209,0.00004476,0.01291685
102,1.31292645,0.00455352,1.31747997,0.01287183,0.00004465,0.01291648
103,1.32577193,0.00458652,1.33035845,0.01287158,0.00004453,0.01291611
104,1.33861741,0.00461952,1.34323693,0.01287133,0.00004442,0.01291574
105,1.35146289,0.00465252,1.35611541,0.01287108,0.00004431,0.01291539
106,1.36430837,0.00468552,1.36899389,0.01287084,0.00004421,0.01291504
107,1.37715385,0.00471852,1.38187237,0.01287060,0.00004410,0.01291470
108,1.38999933,0.00475152,1.39475085,0.01287037,0.00004400,0.01291436
109,1.40284481,0.00478452,1.40762933,0.01287014,0.00004390,0.01291404
