preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
82,1.03707935,0.00373452,1.04081387,0.01264731,0.00004555,0.01269286
83,1.04967901,0.00376552,1.05344453,0.01264674,0.00004537,0.01269211
84,1.06227867,0.00379652,1.06607519,0.01264618,0.00004520,0.01269138
85,1.07487833,0.00382752,1.07870585,0.01264563,0.00004503,0.01269066
86,1.08747799,0.00385852,1.09133651,0.01264510,0.00004487,0.01268996
87,1.10007765,0.00388952,1.10396717,0.01264458,0.00004471,0.01268928
88,1.11267731,0.00392052,1.11659783,0.01264407,0.00004456,0.01268862
89,1.12527697,0.00395152,1.12922849,0.01264357,0.00004440,0.01268797
90,1.13787663,0.00398252,1.14185915,0.01264308,0.00004426,0.01268733
91,1.15047629,0.00401352,1.15448981,0.01264260,0.00004411,0.01268671
92,1.16307595,0.00404452,1.16712047,0.01264213,0.00004397,0.01268610
93,1.17567561,0.00407552,1.17975113,0.01264168,0.00004383,0.01268550
94,1.18827527,0.00410652,1.19238179,0.01264123,0.00004369,0.01268492
95,1.20087493,0.00413752,1.20501245,0.01264079,0.00004356,0.01268435
96,1.21347459,0.00416852,1.21764311,0.01264037,0.00004343,0.01268379
97,1.22607425,0.00419952,1.23027377,0.01263995,0.00004330,0.01268324
98,1.23867391,0.00423052,1.24290443,0.01263953,0.00004317,0.01268270
99,1.25127357,0.00426152,1.25553509,0.01263913,0.00004305,0.01268218
100,1.26387323,0.00429252,1.26816575,0.01263874,0.00004293,0.01268166
101,1.27647289,0.00432352,1.28079641,0.01263835,0.00004281,0.01268116
102,1.28907255,0.00435452,1.29342707,0.01263797,0.00004270,0.01268066
103,1.30167221,0.00438552,1.30605773,0.01263760,0.00004258,0.01268018
104,1.31427187,0.00441652,1.31868839,0.01263723,0.00004247,0.01267970
105,1.32687153,0.00444752,1.33131905,0.01263688,0.00004236,0.01267923
106,1.33947119,0.00447852,1.34394971,0.01263653,0.00004226,0.01267878
107,1.35207085,0.00450952,1.35658037,0.01263618,0.00004215,0.01267833
108,1.36467051,0.00454052,1.36921103,0.01263584,0.00004205,0.01267788
109,1.37727017,0.00457152,1.38184169,0.01263551,0.00004195,0.01267745
110,1.38986983,0.00460252,1.39447235,0.01263519,0.00004185,0.01267703
111,1.40246949,0.00463352,1.40710301,0.01263487,0.00004175,0.01267661
112,1.41506915,0.00466452,1.41973367,0.01263455,0.00004165,0.01267620
113,1.42766881,0.00469552,1.43236433,0.01263424,0.00004156,0.01267580
114,1.44026847,0.00472652,1.44499499,0.01263394,0.00004147,0.01267540
115,1.45286813,0.00475752,1.45762565,0.01263364,0.00004137,0.01267501
116,1.46546779,0.00478852,1.47025631,0.01263335,0.00004129,0.01267463
117,1.47806745,0.00481952,1.48288697,0.01263306,0.00004120,0.01267425
118,1.49066711,0.00485052,1.49551763,0.01263278,0.00004111,0.01267388
119,1.50326677,0.00488152,1.50814829,0.01263250,0.00004103,0.01267352
120,1.51586643,0.00491252,1.52077895,0.01263223,0.00004094,0.01267316
121,1.52846609,0.00494352,1.53340961,0.01263196,0.00004086,0.01267281
122,1.54106575,0.00497452,1.54604027,0.01263169,0.00004078,0.01267247
123,1.55366541,0.00500552,1.55867093,0.01263143,0.00004070,0.01267213
124,1.56626507,0.00503652,1.57130159,0.01263117,0.00004062,0.01267179
125,1.57886473,0.00506752,1.58393225,0.01263092,0.00004055,0.01267146
126,1.59146439,0.00509852,1.59656291,0.01263067,0.00004047,0.01267114
127,1.60406405,0.00512952,1.60919357,0.01263043,0.00004039,0.01267082
128,1.61666371,0.00516252,1.62182623,0.01263019,0.00004034,0.01267052
129,1.62926337,0.00519352,1.63445689,0.01262995,0.00004026,0.01267021
130,1.64186303,0.00522452,1.64708755,0.01262972,0.00004019,0.01266991
131,1.65446269,0.00525552,1.65971821,0.01262949,0.00004012,0.01266961
132,1.66706235,0.00528652,1.67234887,0.01262927,0.00004005,0.01266931
133,1.67966201,0.00531752,1.68497953,0.01262904,0.00003999,0.01266902
134,1.69226167,0.00534852,1.69761019,0.01262882,0.00003992,0.01266874
135,1.70486133,0.00537952,1.71024085,0.01262861,0.00003985,0.01266846
136,1.71746099,0.00541052,1.72287151,0.01262839,0.00003979,0.01266818
137,1.73006065,0.00544152,1.73550217,0.01262818,0.00003972,0.01266790
138,1.74266031,0.00547252,1.74813283,0.01262798,0.00003966,0.01266763
139,1.75525997,0.00550352,1.76076349,0.01262777,0.00003960,0.01266737
140,1.76785963,0.00553452,1.77339415,0.01262757,0.00003954,0.01266711
141,1.78045929,0.00556552,1.78602481,0.01262738,0.00003948,0.01266685
142,1.79305895,0.00559652,1.79865547,0.01262718,0.00003942,0.01266659
143,1.80565861,0.00562752,1.81128613,0.01262699,0.00003936,0.01266634
144,1.81825827,0.00565852,1.82391679,0.01262680,0.00003930,0.01266609
145,1.83085793,0.00568952,1.83654745,0.01262661,0.00003924,0.01266585
146,1.84345759,0.00572052,1.84917811,0.01262643,0.00003919,0.01266561
147,1.85605725,0.00575152,1.86180877,0.01262624,0.00003913,0.01266537
148,1.86865691,0.00578252,1.87443943,0.01262607,0.00003908,0.01266514
149,1.88125657,0.00581352,1.88707009,0.01262589,0.00003902,0.01266490
150,1.89385623,0.00584452,1.89970075,0.01262571,0.00003897,0.01266468
151,1.90645589,0.00587552,1.91233141,0.01262554,0.00003892,0.01266445
152,1.91905555,0.00590652,1.92496207,0.01262537,0.00003886,0.01266423
153,1.93165521,0.00593752,1.93759273,0.01262520,0.00003881,0.01266401
154,1.94425487,0.00596852,1.95022339,0.01262504,0.00003876,0.01266379
155,1.95685453,0.00599952,1.96285405,0.01262487,0.00003871,0.01266358
156,1.96945419,0.00603052,1.97548471,0.01262471,0.00003866,0.01266337
157,1.98205385,0.00606152,1.98811537,0.01262455,0.00003861,0.01266316
158,1.99465351,0.00609252,2.00074603,0.01262439,0.00003857,0.01266295
159,2.00725317,0.00612352,2.01337669,0.01262424,0.00003852,0.01266275
160,2.01985283,0.00615452,2.02600735,0.01262409,0.00003847,0.01266255
161,2.03245249,0.00618552,2.03863801,0.01262393,0.00003842,0.01266235
162,2.04505215,0.00621652,2.05126867,0.01262378,0.00003838,0.01266216
163,2.05765181,0.00624752,2.06389933,0.01262364,0.00003833,0.01266196
164,2.07025147,0.00627852,2.07652999,0.01262349,0.00003829,0.01266177
165,2.08285113,0.00630952,2.08916065,0.01262335,0.00003824,0.01266158
166,2.09545079,0.00634052,2.10179131,0.01262320,0.00003820,0.01266140
167,2.10805045,0.00637152,2.11442197,0.01262306,0.00003816,0.01266121
168,2.12065011,0.00640252,2.12705263,0.01262292,0.00003812,0.01266103
169,2.13324977,0.00643352,2.13968329,0.01262278,0.00003807,0.01266085
170,2.14584943,0.00646452,2.15231395,0.01262265,0.00003803,0.01266068
171,2.15844909,0.00649552,2.16494461,0.01262251,0.00003799,0.01266050
172,2.17104875,0.00652652,2.17757527,0.01262238,0.00003795,0.01266033
173,2.18364841,0.00655752,2.19020593,0.01262225,0.00003791,0.01266015
174,2.19624807,0.00658852,2.20283659,0.01262212,0.00003787,0.01265999
175,2.20884773,0.00661952,2.21546725,0.01262199,0.00003783,0.01265982
176,2.22144739,0.00665052,2.22809791,0.01262187,0.00003779,0.01265965
177,2.23404705,0.00668152,2.24072857,0.01262174,0.00003775,0.01265949
178,2.24664671,0.00671252,2.25335923,0.01262162,0.00003772,0.01265933
179,2.25924637,0.00674352,2.26598989,0.01262149,0.00003768,0.01265917
180,2.27184603,0.00677452,2.27862055,0.01262137,0.00003764,0.01265901
181,2.28444569,0.00680552,2.29125121,0.01262125,0.00003760,0.01265885
182,2.29704535,0.00683652,2.30388187,0.01262113,0.00003757,0.01265870
183,2.30964501,0.00686752,2.31651253,0.01262102,0.00003753,0.01265854
184,2.32224467,0.00689852,2.32914319,0.01262090,0.00003750,0.01265839
185,2.33484433,0.00692952,2.34177385,0.01262079,0.00003746,0.01265824
186,2.34744399,0.00696052,2.35440451,0.01262067,0.00003743,0.01265809
187,2.36004365,0.00699152,2.36703517,0.01262056,0.00003739,0.01265795
188,2.37264331,0.00702252,2.37966583,0.01262045,0.00003736,0.01265780
189,2.38524297,0.00705352,2.39229649,0.01262034,0.00003733,0.01265766
190,2.39784263,0.00708452,2.40492715,0.01262023,0.00003729,0.01265752
191,2.41044229,0.00711552,2.41755781,0.01262012,0.00003726,0.01265738
192,2.42304195,0.00714652,2.43018847,0.01262002,0.00003723,0.01265724
193,2.43564161,0.00717752,2.44281913,0.01261991,0.00003719,0.01265710
194,2.44824127,0.00720852,2.45544979,0.01261981,0.00003716,0.01265696
195,2.46084093,0.00723952,2.46808045,0.01261970,0.00003713,0.01265683
196,2.47344059,0.00727052,2.48071111,0.01261960,0.00003710,0.01265669
197,2.48604025,0.00730152,2.49334177,0.01261950,0.00003707,0.01265656
198,2.49863991,0.00733252,2.50597243,0.01261940,0.00003704,0.01265643
199,2.51123957,0.00736352,2.51860309,0.01261930,0.00003701,0.01265630
