preset_tea=1.00000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
tea,systemfee,networkfee
10.00000000,0.01617846,0.00234204
21.47483647,0.01617846,0.00234204
21.47483648,0.01627846,0.00234604
100.00000000,0.01627846,0.00234604
1000.00000000,0.01627846,0.00234604
