feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
72,1.06827813,0.00327552,1.07155365,0.01483720,0.00004550,0.01488269
73,1.08307800,0.00330452,1.08638252,0.01483669,0.00004527,0.01488196
74,1.09787787,0.00333352,1.10121139,0.01483619,0.00004505,0.01488124
75,1.11267774,0.00336252,1.11604026,0.01483571,0.00004484,0.01488054
76,1.12747761,0.00339152,1.13086913,0.01483524,0.00004463,0.01487986
77,1.14227748,0.00342052,1.14569800,0.01483478,0.00004443,0.01487920
78,1.15707735,0.00344952,1.16052687,0.01483433,0.00004423,0.01487855
79,1.17187722,0.00347852,1.17535574,0.01483389,0.00004404,0.01487793
80,1.18667709,0.00350752,1.19018461,0.01483347,0.00004385,0.01487731
81,1.20147696,0.00353652,1.20501348,0.01483305,0.00004367,0.01487671
82,1.21627683,0.00356552,1.21984235,0.01483265,0.00004349,0.01487613
83,1.23107670,0.00359452,1.23467122,0.01483225,0.00004331,0.01487556
84,1.24587657,0.00362352,1.24950009,0.01483187,0.00004314,0.01487501
85,1.26067644,0.00365252,1.26432896,0.01483149,0.00004298,0.01487446
86,1.27547631,0.00368152,1.27915783,0.01483112,0.00004281,0.01487393
87,1.29027618,0.00371052,1.29398670,0.01483077,0.00004265,0.01487342
88,1.30507605,0.00373952,1.30881557,0.01483041,0.00004250,0.01487291
89,1.31987592,0.00376852,1.32364444,0.01483007,0.00004235,0.01487241
90,1.33467579,0.00379752,1.33847331,0.01482974,0.00004220,0.01487193
91,1.34947566,0.00382652,1.35330218,0.01482941,0.00004205,0.01487146
92,1.36427553,0.00385552,1.36813105,0.01482909,0.00004191,0.01487099
93,1.37907540,0.00388452,1.38295992,0.01482877,0.00004177,0.01487054
94,1.39387527,0.00391352,1.39778879,0.01482847,0.00004164,0.01487010
95,1.40867514,0.00394252,1.41261766,0.01482816,0.00004151,0.01486966
96,1.42347501,0.00397152,1.42744653,0.01482787,0.00004137,0.01486924
97,1.43827488,0.00400052,1.44227540,0.01482758,0.00004125,0.01486882
98,1.45307475,0.00402952,1.45710427,0.01482730,0.00004112,0.01486842
99,1.46787462,0.00405852,1.47193314,0.01482702,0.00004100,0.01486802
100,1.48267449,0.00408752,1.48676201,0.01482675,0.00004088,0.01486763
101,1.49747436,0.00411652,1.50159088,0.01482648,0.00004076,0.01486724
102,1.51227423,0.00414552,1.51641975,0.01482622,0.00004065,0.01486687
103,1.52707410,0.00417452,1.53124862,0.01482597,0.00004053,0.01486650
104,1.54187397,0.00420352,1.54607749,0.01482572,0.00004042,0.01486613
105,1.55667384,0.00423252,1.56090636,0.01482547,0.00004031,0.01486578
106,1.57147371,0.00426152,1.57573523,0.01482523,0.00004021,0.01486543
107,1.58627358,0.00429052,1.59056410,0.01482499,0.00004010,0.01486509
108,1.60107345,0.00431952,1.60539297,0.01482476,0.00004000,0.01486475
109,1.61587332,0.00434852,1.62022184,0.01482453,0.00003990,0.01486443
110,1.63067319,0.00437752,1.63505071,0.01482431,0.00003980,0.01486410
111,1.64547306,0.00440652,1.64987958,0.01482409,0.00003970,0.01486378
112,1.66027293,0.00443552,1.66470845,0.01482387,0.00003961,0.01486347
113,1.67507280,0.00446452,1.67953732,0.01482366,0.00003951,0.01486317
114,1.68987267,0.00449352,1.69436619,0.01482345,0.00003942,0.01486287
115,1.70467254,0.00452252,1.70919506,0.01482324,0.00003933,0.01486257
116,1.71947241,0.00455152,1.72402393,0.01482304,0.00003924,0.01486228
117,1.73427228,0.00458052,1.73885280,0.01482284,0.00003915,0.01486199
118,1.74907215,0.00460952,1.75368167,0.01482265,0.00003907,0.01486171
119,1.76387202,0.00463852,1.76851054,0.01482246,0.00003898,0.01486144
120,1.77867189,0.00466752,1.78333941,0.01482227,0.00003890,0.01486117
121,1.79347176,0.00469652,1.79816828,0.01482209,0.00003882,0.01486090
122,1.80827163,0.00472552,1.81299715,0.01482190,0.00003874,0.01486064
123,1.82307150,0.00475452,1.82782602,0.01482172,0.00003866,0.01486038
124,1.83787137,0.00478352,1.84265489,0.01482155,0.00003858,0.01486013
125,1.85267124,0.00481252,1.85748376,0.01482137,0.00003851,0.01485988
126,1.86747111,0.00484152,1.87231263,0.01482120,0.00003843,0.01485963
127,1.88227098,0.00487052,1.88714150,0.01482104,0.00003836,0.01485939
128,1.89707085,0.00489952,1.90197037,0.01482087,0.00003828,0.01485915
129,1.91187072,0.00492852,1.91679924,0.01482071,0.00003821,0.01485891
130,1.92667059,0.00495752,1.93162811,0.01482055,0.00003814,0.01485868
131,1.94147046,0.00498652,1.94645698,0.01482039,0.00003807,0.01485846
132,1.95627033,0.00501552,1.96128585,0.01482023,0.00003800,0.01485823
133,1.97107020,0.00504452,1.97611472,0.01482008,0.00003793,0.01485801
134,1.98587007,0.00507352,1.99094359,0.01481993,0.00003787,0.01485779
135,2.00066994,0.00510252,2.00577246,0.01481978,0.00003780,0.01485758
136,2.01546981,0.00513152,2.02060133,0.01481964,0.00003774,0.01485737
137,2.03026968,0.00516052,2.03543020,0.01481949,0.00003767,0.01485716
138,2.04506955,0.00518952,2.05025907,0.01481935,0.00003761,0.01485695
139,2.05986942,0.00521852,2.06508794,0.01481921,0.00003755,0.01485675
140,2.07466929,0.00524752,2.07991681,0.01481907,0.00003749,0.01485655
141,2.08946916,0.00527652,2.09474568,0.01481894,0.00003743,0.01485636
142,2.10426903,0.00530552,2.10957455,0.01481880,0.00003737,0.01485616
143,2.11906890,0.00533452,2.12440342,0.01481867,0.00003731,0.01485597
144,2.13386877,0.00536352,2.13923229,0.01481854,0.00003725,0.01485578
145,2.14866864,0.00539252,2.15406116,0.01481841,0.00003719,0.01485560
146,2.16346851,0.00542152,2.16889003,0.01481828,0.00003714,0.01485542
147,2.17826838,0.00545052,2.18371890,0.01481816,0.00003708,0.01485524
148,2.19306825,0.00547952,2.19854777,0.01481803,0.00003703,0.01485506
149,2.20786812,0.00550852,2.21337664,0.01481791,0.00003697,0.01485488
150,2.22266799,0.00553752,2.22820551,0.01481779,0.00003692,0.01485471
151,2.23746786,0.00556652,2.24303438,0.01481767,0.00003687,0.01485454
152,2.25226773,0.00559552,2.25786325,0.01481756,0.00003682,0.01485437
153,2.26706760,0.00562452,2.27269212,0.01481744,0.00003677,0.01485420
154,2.28186747,0.00565352,2.28752099,0.01481733,0.00003672,0.01485404
155,2.29666734,0.00568252,2.30234986,0.01481721,0.00003667,0.01485388
156,2.31146721,0.00571152,2.31717873,0.01481710,0.00003662,0.01485371
157,2.32626708,0.00574052,2.33200760,0.01481699,0.00003657,0.01485356
158,2.34106695,0.00576952,2.34683647,0.01481688,0.00003652,0.01485340
159,2.35586682,0.00579852,2.36166534,0.01481678,0.00003647,0.01485325
160,2.37066669,0.00582752,2.37649421,0.01481667,0.00003643,0.01485309
161,2.38546656,0.00585652,2.39132308,0.01481657,0.00003638,0.01485294
162,2.40026643,0.00588552,2.40615195,0.01481646,0.00003634,0.01485279
163,2.41506630,0.00591452,2.42098082,0.01481636,0.00003629,0.01485265
164,2.42986617,0.00594352,2.43580969,0.01481626,0.00003625,0.01485250
165,2.44466604,0.00597252,2.45063856,0.01481616,0.00003620,0.01485236
166,2.45946591,0.00600152,2.46546743,0.01481606,0.00003616,0.01485222
167,2.47426578,0.00603052,2.48029630,0.01481597,0.00003612,0.01485208
168,2.48906565,0.00605952,2.49512517,0.01481587,0.00003607,0.01485194
169,2.50386552,0.00608852,2.50995404,0.01481578,0.00003603,0.01485180
170,2.51866539,0.00611752,2.52478291,0.01481568,0.00003599,0.01485167
171,2.53346526,0.00614652,2.53961178,0.01481559,0.00003595,0.01485154
172,2.54826513,0.00617552,2.55444065,0.01481550,0.00003591,0.01485140
173,2.56306500,0.00620452,2.56926952,0.01481541,0.00003587,0.01485127
174,2.57786487,0.00623352,2.58409839,0.01481532,0.00003583,0.01485115
175,2.59266474,0.00626252,2.59892726,0.01481523,0.00003579,0.01485102
176,2.60746461,0.00629152,2.61375613,0.01481514,0.00003575,0.01485089
177,2.62226448,0.00632052,2.62858500,0.01481506,0.00003571,0.01485077
