preset_tea=0.01000000
feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=1.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01640689,0.00121552,0.01762241,0.01640689,0.00121552,0.01762241
2,0.02890655,0.00124252,0.03014907,0.01445328,0.00062126,0.01507454
3,0.04140621,0.00126952,0.04267573,0.01380207,0.00042318,0.01422525
4,0.05390587,0.00129652,0.05520239,0.01347647,0.00032413,0.01380060
5,0.06640553,0.00132352,0.06772905,0.01328111,0.00026471,0.01354581
6,0.07890519,0.00135052,0.08025571,0.01315087,0.00022509,0.01337596
7,0.09140485,0.00137752,0.09278237,0.01305784,0.00019679,0.01325463
8,0.10390451,0.00140652,0.10531103,0.01298807,0.00017582,0.01316388
9,0.11640417,0.00143352,0.11783769,0.01293380,0.00015928,0.01309308
10,0.12890383,0.00146052,0.13036435,0.01289039,0.00014606,0.01303644
11,0.14140349,0.00148752,0.14289101,0.01285487,0.00013523,0.01299010
12,0.15390315,0.00151452,0.15541767,0.01282527,0.00012621,0.01295148
13,0.16640281,0.00154152,0.16794433,0.01280022,0.00011858,0.01291880
14,0.17890247,0.00156852,0.18047099,0.01277875,0.00011204,0.01289079
15,0.19140213,0.00159552,0.19299765,0.01276015,0.00010637,0.01286651
16,0.20390179,0.00162252,0.20552431,0.01274387,0.00010141,0.01284527
17,0.21640145,0.00165152,0.21805297,0.01272950,0.00009715,0.01282665
18,0.22890111,0.00167852,0.23057963,0.01271673,0.00009326,0.01280998
19,0.24140077,0.00170552,0.24310629,0.01270531,0.00008977,0.01279507
20,0.25390043,0.00173252,0.25563295,0.01269503,0.00008663,0.01278165
21,0.26640009,0.00175952,0.26815961,0.01268572,0.00008379,0.01276951
22,0.27889975,0.00178652,0.28068627,0.01267727,0.00008121,0.01275847
23,0.29139941,0.00181352,0.29321293,0.01266954,0.00007885,0.01274839
24,0.30389907,0.00184052,0.30573959,0.01266247,0.00007669,0.01273915
25,0.31639873,0.00186752,0.31826625,0.01265595,0.00007471,0.01273065
26,0.32889839,0.00189452,0.33079291,0.01264994,0.00007287,0.01272281
27,0.34139805,0.00192152,0.34331957,0.01264438,0.00007117,0.01271554
28,0.35389771,0.00194852,0.35584623,0.01263921,0.00006959,0.01270880
29,0.36639737,0.00197552,0.36837289,0.01263440,0.00006813,0.01270252
30,0.37889703,0.00200252,0.38089955,0.01262991,0.00006676,0.01269666
31,0.39139669,0.00202952,0.39342621,0.01262570,0.00006547,0.01269117
32,0.40389635,0.00205652,0.40595287,0.01262177,0.00006427,0.01268603
33,0.41639601,0.00208352,0.41847953,0.01261807,0.00006314,0.01268120
34,0.42889567,0.00211052,0.43100619,0.01261458,0.00006208,0.01267666
35,0.44139533,0.00213752,0.44353285,0.01261130,0.00006108,0.01267237
36,0.45389499,0.00216452,0.45605951,0.01260820,0.00006013,0.01266832
37,0.46639465,0.00219152,0.46858617,0.01260527,0.00005924,0.01266450
38,0.47889431,0.00221852,0.48111283,0.01260249,0.00005839,0.01266087
39,0.49139397,0.00224552,0.49363949,0.01259985,0.00005758,0.01265743
40,0.50389363,0.00227252,0.50616615,0.01259735,0.00005682,0.01265416
41,0.51639329,0.00229952,0.51869281,0.01259496,0.00005609,0.01265105
42,0.52889295,0.00232652,0.53121947,0.01259269,0.00005540,0.01264809
43,0.54139261,0.00235352,0.54374613,0.01259053,0.00005474,0.01264526
44,0.55389227,0.00238052,0.55627279,0.01258847,0.00005411,0.01264257
45,0.56639193,0.00240752,0.56879945,0.01258649,0.00005351,0.01263999
46,0.57889159,0.00243452,0.58132611,0.01258460,0.00005293,0.01263753
47,0.59139125,0.00246152,0.59385277,0.01258280,0.00005238,0.01263517
48,0.60389091,0.00248852,0.60637943,0.01258107,0.00005185,0.01263291
49,0.61639057,0.00251552,0.61890609,0.01257940,0.00005134,0.01263074
50,0.62889023,0.00254252,0.63143275,0.01257781,0.00005086,0.01262866
51,0.64138989,0.00256952,0.64395941,0.01257628,0.00005039,0.01262666
52,0.65388955,0.00259652,0.65648607,0.01257480,0.00004994,0.01262474
53,0.66638921,0.00262352,0.66901273,0.01257339,0.00004951,0.01262289
54,0.67888887,0.00265052,0.68153939,0.01257202,0.00004909,0.01262110
55,0.69138853,0.00267752,0.69406605,0.01257071,0.00004869,0.01261939
56,0.70388819,0.00270452,0.70659271,0.01256944,0.00004830,0.01261773
57,0.71638785,0.00273152,0.71911937,0.01256821,0.00004793,0.01261613
58,0.72888751,0.00275852,0.73164603,0.01256703,0.00004757,0.01261459
59,0.74138717,0.00278552,0.74417269,0.01256589,0.00004722,0.01261310
60,0.75388683,0.00281252,0.75669935,0.01256479,0.00004688,0.01261166
61,0.76638649,0.00283952,0.76922601,0.01256372,0.00004655,0.01261027
62,0.77888615,0.00286652,0.78175267,0.01256268,0.00004624,0.01260892
63,0.79138581,0.00289352,0.79427933,0.01256168,0.00004593,0.01260761
64,0.80388547,0.00292052,0.80680599,0.01256072,0.00004564,0.01260635
65,0.81638513,0.00294752,0.81933265,0.01255978,0.00004535,0.01260512
66,0.82888479,0.00297452,0.83185931,0.01255887,0.00004507,0.01260393
67,0.84138445,0.00300152,0.84438597,0.01255798,0.00004480,0.01260278
68,0.85388411,0.00302852,0.85691263,0.01255712,0.00004454,0.01260166
69,0.86638377,0.00305552,0.86943929,0.01255629,0.00004429,0.01260057
70,0.87888343,0.00308252,0.88196595,0.01255548,0.00004404,0.01259952
71,0.89138309,0.00310952,0.89449261,0.01255470,0.00004380,0.01259849
72,0.90388275,0.00313652,0.90701927,0.01255393,0.00004357,0.01259749
73,0.91638241,0.00316352,0.91954593,0.01255319,0.00004334,0.01259652
74,0.92888207,0.00319052,0.93207259,0.01255247,0.00004312,0.01259558
75,0.94138173,0.00321752,0.94459925,0.01255176,0.00004291,0.01259466
76,0.95388139,0.00324452,0.95712591,0.01255108,0.00004270,0.01259377
77,0.96638105,0.00327152,0.96965257,0.01255041,0.00004249,0.01259290
78,0.97888071,0.00329852,0.98217923,0.01254976,0.00004229,0.01259205
79,0.99138037,0.00332552,0.99470589,0.01254912,0.00004210,0.01259122
80,1.00388003,0.00335252,1.00723255,0.01254851,0.00004191,0.01259041
81,1.01637969,0.00337952,1.01975921,0.01254790,0.00004173,0.01258962
82,1.02887935,0.00340652,1.03228587,0.01254731,0.00004155,0.01258886
83,1.04137901,0.00343352,1.04481253,0.01254674,0.00004137,0.01258811
84,1.05387867,0.00346052,1.05733919,0.01254618,0.00004120,0.01258738
85,1.06637833,0.00348752,1.06986585,0.01254563,0.00004103,0.01258666
86,1.07887799,0.00351452,1.08239251,0.01254510,0.00004087,0.01258596
87,1.09137765,0.00354152,1.09491917,0.01254458,0.00004071,0.01258528
88,1.10387731,0.00356852,1.10744583,0.01254407,0.00004056,0.01258462
89,1.11637697,0.00359552,1.11997249,0.01254357,0.00004040,0.01258397
90,1.12887663,0.00362252,1.13249915,0.01254308,0.00004026,0.01258333
91,1.14137629,0.00364952,1.14502581,0.01254260,0.00004011,0.01258271
92,1.15387595,0.00367652,1.15755247,0.01254213,0.00003997,0.01258210
93,1.16637561,0.00370352,1.17007913,0.01254168,0.00003983,0.01258150
94,1.17887527,0.00373052,1.18260579,0.01254123,0.00003969,0.01258092
95,1.19137493,0.00375752,1.19513245,0.01254079,0.00003956,0.01258035
96,1.20387459,0.00378452,1.20765911,0.01254037,0.00003943,0.01257979
97,1.21637425,0.00381152,1.22018577,0.01253995,0.00003930,0.01257924
98,1.22887391,0.00383852,1.23271243,0.01253953,0.00003917,0.01257870
99,1.24137357,0.00386552,1.24523909,0.01253913,0.00003905,0.01257818
100,1.25387323,0.00389252,1.25776575,0.01253874,0.00003893,0.01257766
101,1.26637289,0.00391952,1.27029241,0.01253835,0.00003881,0.01257716
102,1.27887255,0.00394652,1.28281907,0.01253797,0.00003870,0.01257666
103,1.29137221,0.00397352,1.29534573,0.01253760,0.00003858,0.01257618
104,1.30387187,0.00400052,1.30787239,0.01253723,0.00003847,0.01257570
105,1.31637153,0.00402752,1.32039905,0.01253688,0.00003836,0.01257523
106,1.32887119,0.00405452,1.33292571,0.01253653,0.00003826,0.01257478
107,1.34137085,0.00408152,1.34545237,0.01253618,0.00003815,0.01257433
108,1.35387051,0.00410852,1.35797903,0.01253584,0.00003805,0.01257388
109,1.36637017,0.00413552,1.37050569,0.01253551,0.00003795,0.01257345
110,1.37886983,0.00416252,1.38303235,0.01253519,0.00003785,0.01257303
111,1.39136949,0.00418952,1.39555901,0.01253487,0.00003775,0.01257261
112,1.40386915,0.00421652,1.40808567,0.01253455,0.00003765,0.01257220
113,1.41636881,0.00424352,1.42061233,0.01253424,0.00003756,0.01257180
114,1.42886847,0.00427052,1.43313899,0.01253394,0.00003747,0.01257140
115,1.44136813,0.00429752,1.44566565,0.01253364,0.00003737,0.01257101
116,1.45386779,0.00432452,1.45819231,0.01253335,0.00003729,0.01257063
117,1.46636745,0.00435152,1.47071897,0.01253306,0.00003720,0.01257025
118,1.47886711,0.00437852,1.48324563,0.01253278,0.00003711,0.01256988
119,1.49136677,0.00440552,1.49577229,0.01253250,0.00003703,0.01256952
120,1.50386643,0.00443252,1.50829895,0.01253223,0.00003694,0.01256916
121,1.51636609,0.00445952,1.52082561,0.01253196,0.00003686,0.01256881
122,1.52886575,0.00448652,1.53335227,0.01253169,0.00003678,0.01256847
123,1.54136541,0.00451352,1.54587893,0.01253143,0.00003670,0.01256813
124,1.55386507,0.00454052,1.55840559,0.01253117,0.00003662,0.01256779
125,1.56636473,0.00456752,1.57093225,0.01253092,0.00003655,0.01256746
126,1.57886439,0.00459452,1.58345891,0.01253067,0.00003647,0.01256714
127,1.59136405,0.00462152,1.59598557,0.01253043,0.00003639,0.01256682
128,1.60386371,0.00465052,1.60851423,0.01253019,0.00003634,0.01256652
129,1.61636337,0.00467752,1.62104089,0.01252995,0.00003626,0.01256621
130,1.62886303,0.00470452,1.63356755,0.01252972,0.00003619,0.01256591
131,1.64136269,0.00473152,1.64609421,0.01252949,0.00003612,0.01256561
132,1.65386235,0.00475852,1.65862087,0.01252927,0.00003605,0.01256531
133,1.66636201,0.00478552,1.67114753,0.01252904,0.00003599,0.01256502
134,1.67886167,0.00481252,1.68367419,0.01252882,0.00003592,0.01256474
135,1.69136133,0.00483952,1.69620085,0.01252861,0.00003585,0.01256446
136,1.70386099,0.00486652,1.70872751,0.01252839,0.00003579,0.01256418
137,1.71636065,0.00489352,1.72125417,0.01252818,0.00003572,0.01256390
138,1.72886031,0.00492052,1.73378083,0.01252798,0.00003566,0.01256363
139,1.74135997,0.00494752,1.74630749,0.01252777,0.00003560,0.01256337
140,1.75385963,0.00497452,1.75883415,0.01252757,0.00003554,0.01256311
141,1.76635929,0.00500152,1.77136081,0.01252738,0.00003548,0.01256285
142,1.77885895,0.00502852,1.78388747,0.01252718,0.00003542,0.01256259
143,1.79135861,0.00505552,1.79641413,0.01252699,0.00003536,0.01256234
144,1.80385827,0.00508252,1.80894079,0.01252680,0.00003530,0.01256209
145,1.81635793,0.00510952,1.82146745,0.01252661,0.00003524,0.01256185
146,1.82885759,0.00513652,1.83399411,0.01252643,0.00003519,0.01256161
147,1.84135725,0.00516352,1.84652077,0.01252624,0.00003513,0.01256137
148,1.85385691,0.00519052,1.85904743,0.01252607,0.00003508,0.01256114
149,1.86635657,0.00521752,1.87157409,0.01252589,0.00003502,0.01256090
150,1.87885623,0.00524452,1.88410075,0.01252571,0.00003497,0.01256068
151,1.89135589,0.00527152,1.89662741,0.01252554,0.00003492,0.01256045
152,1.90385555,0.00529852,1.90915407,0.01252537,0.00003486,0.01256023
153,1.91635521,0.00532552,1.92168073,0.01252520,0.00003481,0.01256001
154,1.92885487,0.00535252,1.93420739,0.01252504,0.00003476,0.01255979
155,1.94135453,0.00537952,1.94673405,0.01252487,0.00003471,0.01255958
156,1.95385419,0.00540652,1.95926071,0.01252471,0.00003466,0.01255937
157,1.96635385,0.00543352,1.97178737,0.01252455,0.00003461,0.01255916
158,1.97885351,0.00546052,1.98431403,0.01252439,0.00003457,0.01255895
159,1.99135317,0.00548752,1.99684069,0.01252424,0.00003452,0.01255875
160,2.00385283,0.00551452,2.00936735,0.01252409,0.00003447,0.01255855
161,2.01635249,0.00554152,2.02189401,0.01252393,0.00003442,0.01255835
162,2.02885215,0.00556852,2.03442067,0.01252378,0.00003438,0.01255816
163,2.04135181,0.00559552,2.04694733,0.01252364,0.00003433,0.01255796
164,2.05385147,0.00562252,2.05947399,0.01252349,0.00003429,0.01255777
165,2.06635113,0.00564952,2.07200065,0.01252335,0.00003424,0.01255758
166,2.07885079,0.00567652,2.08452731,0.01252320,0.00003420,0.01255740
167,2.09135045,0.00570352,2.09705397,0.01252306,0.00003416,0.01255721
168,2.10385011,0.00573052,2.10958063,0.01252292,0.00003412,0.01255703
169,2.11634977,0.00575752,2.12210729,0.01252278,0.00003407,0.01255685
170,2.12884943,0.00578452,2.13463395,0.01252265,0.00003403,0.01255668
171,2.14134909,0.00581152,2.14716061,0.01252251,0.00003399,0.01255650
172,2.15384875,0.00583852,2.15968727,0.01252238,0.00003395,0.01255633
173,2.16634841,0.00586552,2.17221393,0.01252225,0.00003391,0.01255615
174,2.17884807,0.00589252,2.18474059,0.01252212,0.00003387,0.01255599
175,2.19134773,0.00591952,2.19726725,0.01252199,0.00003383,0.01255582
176,2.20384739,0.00594652,2.20979391,0.01252187,0.00003379,0.01255565
177,2.21634705,0.00597352,2.22232057,0.01252174,0.00003375,0.01255549
178,2.22884671,0.00600052,2.23484723,0.01252162,0.00003372,0.01255533
179,2.24134637,0.00602752,2.24737389,0.01252149,0.00003368,0.01255517
180,2.25384603,0.00605452,2.25990055,0.01252137,0.00003364,0.01255501
181,2.26634569,0.00608152,2.27242721,0.01252125,0.00003360,0.01255485
182,2.27884535,0.00610852,2.28495387,0.01252113,0.00003357,0.01255470
183,2.29134501,0.00613552,2.29748053,0.01252102,0.00003353,0.01255454
