feeperbyte=100
storageprice=10000
executionfeefactor=3
tea=25.00000000
#accounts,systemfee,networkfee,totalfee,sysfeeperacc,netfeeperacc,totalfeeperacc
1,0.01758736,0.00121852,0.01880588,0.01758736,0.00121852,0.01880588
2,0.03248723,0.00125152,0.03373875,0.01624362,0.00062576,0.01686938
3,0.04738710,0.00128452,0.04867162,0.01579570,0.00042818,0.01622388
4,0.06228697,0.00131752,0.06360449,0.01557175,0.00032938,0.01590113
5,0.07718684,0.00135052,0.07853736,0.01543737,0.00027011,0.01570748
6,0.09208671,0.00138352,0.09347023,0.01534779,0.00023059,0.01557838
7,0.10698658,0.00141852,0.10840510,0.01528380,0.00020265,0.01548645
8,0.12188645,0.00145152,0.12333797,0.01523581,0.00018144,0.01541725
9,0.13678632,0.00148452,0.13827084,0.01519848,0.00016495,0.01536343
10,0.15168619,0.00151752,0.15320371,0.01516862,0.00015176,0.01532038
11,0.16658606,0.00155052,0.16813658,0.01514419,0.00014096,0.01528515
12,0.18148593,0.00158352,0.18306945,0.01512383,0.00013196,0.01525579
13,0.19638580,0.00161652,0.19800232,0.01510660,0.00012435,0.01523095
14,0.21128567,0.00164952,0.21293519,0.01509184,0.00011783,0.01520966
15,0.22618554,0.00168252,0.22786806,0.01507904,0.00011217,0.01519121
16,0.24108541,0.00171552,0.24280093,0.01506784,0.00010722,0.01517506
17,0.25598528,0.00174852,0.25773380,0.01505796,0.00010286,0.01516082
18,0.27088515,0.00178152,0.27266667,0.01504918,0.00009898,0.01514815
19,0.28578502,0.00181452,0.28759954,0.01504132,0.00009551,0.01513682
20,0.30068489,0.00184752,0.30253241,0.01503425,0.00009238,0.01512663
21,0.31558476,0.00188052,0.31746528,0.01502785,0.00008955,0.01511740
22,0.33048463,0.00191352,0.33239815,0.01502203,0.00008698,0.01510901
23,0.34538450,0.00194652,0.34733102,0.01501672,0.00008464,0.01510135
24,0.36028437,0.00197952,0.36226389,0.01501185,0.00008248,0.01509433
25,0.37518424,0.00201252,0.37719676,0.01500737,0.00008051,0.01508788
26,0.39008411,0.00204552,0.39212963,0.01500324,0.00007868,0.01508191
27,0.40498398,0.00207852,0.40706250,0.01499941,0.00007699,0.01507639
28,0.41988385,0.00211152,0.42199537,0.01499586,0.00007542,0.01507127
29,0.43478372,0.00214452,0.43692824,0.01499255,0.00007395,0.01506650
30,0.44968359,0.00217752,0.45186111,0.01498946,0.00007259,0.01506204
31,0.46458346,0.00221052,0.46679398,0.01498657,0.00007131,0.01505788
